index,learning_score,asymmetry_score
0.0,0.9299999999999999,0.030000000000000027
1.0,0.9199999999999999,0.0
2.0,0.97,0.010000000000000009
3.0,0.99,0.010000000000000009
4.0,0.98,0.020000000000000018
5.0,0.97,0.010000000000000009
6.0,0.97,0.010000000000000009
7.0,0.8799999999999999,0.0
8.0,0.96,0.020000000000000018
9.0,0.97,0.010000000000000009
10.0,0.92,0.05999999999999994
11.0,0.96,0.020000000000000018
12.0,0.97,0.030000000000000027
13.0,0.8699999999999999,0.010000000000000009
14.0,0.98,0.020000000000000018
15.0,0.85,0.04999999999999993
16.0,0.99,0.010000000000000009
17.0,0.95,0.030000000000000027
18.0,0.94,0.06000000000000005
19.0,0.95,0.050000000000000044
