Model,Rank,WAIC,pWAIC,dWAIC,Weight,SE,dSE,Warning,Scale,p-val,significance,effect_size,effect
RF-QL,21,17107.33624112061,2.360930264584234,1316.8480697600162,0.0,82.81650377662422,66.99430853460143,False,deviance,5.12468129229677e-86,****,19.656118535500465,^^^
I-QL,20,16784.690360853012,2.9514242712574674,994.2021894924173,3.4060758260856115e-09,88.08651764682104,60.525356334194136,False,deviance,1.2418256616765203e-60,****,16.426209603837346,^^^
DE-I-QL,19,16770.18991533608,3.203913745947363,979.7017439754885,3.258005526826977e-09,88.6000496649983,59.57660687633574,False,deviance,9.198603270462054e-61,****,16.444403186792318,^^^
I-OS-QL,18,16523.213942804417,3.4471892354490112,732.7257714438272,3.862771246754788e-09,89.73835384284942,50.76161268067329,False,deviance,3.132622273143744e-47,****,14.434643281591432,^^^
F-I-QL,17,16219.740766878229,2.5555280283153503,429.25259551763713,3.881087064762686e-09,94.7385234468062,42.560728216508146,False,deviance,6.39407761578759e-24,****,10.085649694103255,^^^
F-I-OS-QL,16,16045.22417324255,3.169590909637175,254.73600188195715,3.349270719034268e-09,95.74502594202706,31.2765633736779,False,deviance,3.804468930666361e-16,****,8.144628897954336,^^^
SARSA,15,16030.148720430336,4.613859394938119,239.6605490697426,0.03565856187347097,90.81394511724562,36.7395985935041,False,deviance,6.881300371870088e-11,****,6.523221761930649,^^^
ESARSA,14,16017.43593996567,4.485690169388348,226.94776860507503,4.837783632095276e-09,91.60241526045122,33.831355133791064,False,deviance,1.970288986280021e-11,****,6.7082080427336335,^^^
DF-I-OS-QL,13,16001.247162449148,4.52696518820402,210.7589910885555,3.777837488463923e-09,95.18759262261696,28.589785305329478,False,deviance,1.683035783958009e-13,****,7.371828393872811,^^^
LT-QL,12,15960.573166990178,4.539467697682753,170.08499562958326,4.919933617430507e-09,92.42672513066307,31.374096201390003,False,deviance,5.920296996492993e-08,****,5.4211918819209775,^^^
DE-LT-QL,11,15960.117695350107,5.495159534265676,169.62952398951379,4.834887736259285e-09,92.60015416121179,31.096447034158448,False,deviance,4.898697999620457e-08,****,5.454948721414418,^^^
LT-OS-QL,10,15947.446766564814,5.662733661446508,156.9585952042198,4.7043561573891594e-09,92.89012142654005,29.42411772858038,False,deviance,9.588646620559201e-08,****,5.334351794404425,^^^
F-RF-QL,9,15932.563616639789,3.957857157296915,142.07544527919518,4.4859906163755895e-09,93.40244470770867,32.48220790355483,False,deviance,1.2202019655898861e-05,****,4.373946675701394,^^^
F-LT-QL,8,15917.800281765063,4.087531084827071,127.31211040446763,4.296088592510498e-09,93.6403740679585,30.70525765881671,False,deviance,3.379438712691748e-05,****,4.146264194200996,^^^
F-LT-OS-QL,7,15916.317730472425,5.100644567943555,125.82955911183276,4.13065909217437e-09,93.7371971215113,29.79066492517369,False,deviance,2.4022624172686425e-05,****,4.223791561144523,^^^
DF-I-QL,6,15909.12945232432,3.456613481915106,118.64128096372707,4.4128182489931826e-09,92.11745544581146,29.991191657946025,False,deviance,7.6256350479965e-05,****,3.95587085424442,^^^
I-HV-QL,5,15873.049976880442,6.671555556336026,82.56180551984836,0.07850604109472872,94.74194257278734,23.90273392436453,False,deviance,0.0005521863725598453,***,3.454073738221697,^^^
F-I-HV-QL,4,15859.944903822903,5.964888910836587,69.45673246230858,4.117095103448042e-09,94.04976829957606,22.053613255536792,False,deviance,0.001635786001376018,**,3.14944910194572,^^^
F-LT-HV-QL,3,15857.812113670318,6.685865050806935,67.32394230972365,0.21922048779599052,94.12386201309539,28.83375199229564,False,deviance,0.01954861857306664,*,2.3349005126947255,^^^
DF-LT-QL,2,15833.8060330602,5.340234519426697,43.317861699607704,0.15612835308321543,93.27776921939586,24.765049069778858,False,deviance,0.08026456313171913,ns,1.7491530736544798,^^^
DF-LT-OS-QL,1,15802.582629562723,6.0364049688540025,12.094458202130753,0.0,93.85762139865467,19.00243752699946,False,deviance,0.5244709244041836,ns,0.6364687785420391,^^
LT-HV-QL,0,15790.488171360592,9.375612590242513,0.0,0.5104865312980637,93.95228527873968,0.0,False,deviance,,ns,,
