,Lag,Mean(95% CI) [C],P-value [C],d [C],Lag,Mean(95% CI) [R.C],P-value [R.C],d [R.C]
0,t-30,0.027 (-0.024–0.082),0.027 (ns),0.027 (^^^),t-30,-0.040 (-0.129–0.041),-0.040 (ns),-0.040 (^^^)
1,t-29,0.050 (-0.008–0.113),0.050 (*),0.050 (^^^),t-29,-0.033 (-0.124–0.059),-0.033 (ns),-0.033 (^^)
2,t-28,0.033 (-0.016–0.080),0.033 (ns),0.033 (^^^),t-28,-0.010 (-0.096–0.080),-0.010 (ns),-0.010 (^)
3,t-27,0.074 (0.014–0.137),0.074 (**),0.074 (^^^),t-27,0.004 (-0.085–0.088),0.004 (ns),0.004 (neg)
4,t-26,-0.006 (-0.069–0.055),-0.006 (ns),-0.006 (^),t-26,0.062 (-0.020–0.155),0.062 (ns),0.062 (^^^)
5,t-25,0.071 (0.013–0.132),0.071 (**),0.071 (^^^),t-25,-0.001 (-0.093–0.091),-0.001 (ns),-0.001 (neg)
6,t-24,0.014 (-0.052–0.076),0.014 (ns),0.014 (^),t-24,0.015 (-0.079–0.109),0.015 (ns),0.015 (^)
7,t-23,0.043 (-0.012–0.104),0.043 (ns),0.043 (^^^),t-23,-0.046 (-0.132–0.035),-0.046 (ns),-0.046 (^^^)
8,t-22,0.038 (-0.025–0.103),0.038 (ns),0.038 (^^^),t-22,0.003 (-0.096–0.109),0.003 (ns),0.003 (neg)
9,t-21,-0.009 (-0.064–0.042),-0.009 (ns),-0.009 (^),t-21,0.096 (0.006–0.199),0.096 (*),0.096 (^^^)
10,t-20,0.033 (-0.027–0.086),0.033 (ns),0.033 (^^^),t-20,0.001 (-0.091–0.088),0.001 (ns),0.001 (neg)
11,t-19,0.013 (-0.049–0.074),0.013 (ns),0.013 (^),t-19,0.012 (-0.067–0.098),0.012 (ns),0.012 (^)
12,t-18,0.016 (-0.032–0.065),0.016 (ns),0.016 (^^),t-18,0.024 (-0.067–0.113),0.024 (ns),0.024 (^^)
13,t-17,0.047 (-0.005–0.097),0.047 (*),0.047 (^^^),t-17,0.060 (-0.022–0.142),0.060 (ns),0.060 (^^^)
14,t-16,0.043 (-0.015–0.102),0.043 (ns),0.043 (^^^),t-16,0.040 (-0.042–0.121),0.040 (ns),0.040 (^^^)
15,t-15,-0.010 (-0.063–0.038),-0.010 (ns),-0.010 (^),t-15,0.046 (-0.033–0.133),0.046 (ns),0.046 (^^^)
16,t-14,0.069 (0.020–0.121),0.069 (**),0.069 (^^^),t-14,-0.019 (-0.108–0.067),-0.019 (ns),-0.019 (^)
17,t-13,0.001 (-0.064–0.057),0.001 (ns),0.001 (neg),t-13,0.077 (-0.016–0.169),0.077 (*),0.077 (^^^)
18,t-12,0.071 (0.023–0.123),0.071 (**),0.071 (^^^),t-12,0.040 (-0.045–0.124),0.040 (ns),0.040 (^^^)
19,t-11,0.016 (-0.034–0.066),0.016 (ns),0.016 (^^),t-11,0.052 (-0.020–0.129),0.052 (ns),0.052 (^^^)
20,t-10,0.047 (-0.003–0.096),0.047 (*),0.047 (^^^),t-10,0.015 (-0.074–0.099),0.015 (ns),0.015 (^)
21,t-9,0.065 (0.010–0.118),0.065 (**),0.065 (^^^),t-9,0.044 (-0.038–0.133),0.044 (ns),0.044 (^^^)
22,t-8,0.031 (-0.022–0.086),0.031 (ns),0.031 (^^^),t-8,0.099 (0.007–0.188),0.099 (*),0.099 (^^^)
23,t-7,0.059 (0.008–0.110),0.059 (**),0.059 (^^^),t-7,0.125 (0.051–0.203),0.125 (**),0.125 (^^^)
24,t-6,0.038 (-0.022–0.092),0.038 (ns),0.038 (^^^),t-6,0.186 (0.102–0.277),0.186 (****),0.186 (^^^)
25,t-5,0.090 (0.039–0.140),0.090 (**),0.090 (^^^),t-5,0.159 (0.079–0.240),0.159 (**),0.159 (^^^)
26,t-4,0.075 (0.030–0.124),0.075 (**),0.075 (^^^),t-4,0.159 (0.073–0.247),0.159 (****),0.159 (^^^)
27,t-3,0.040 (-0.009–0.086),0.040 (*),0.040 (^^^),t-3,0.238 (0.130–0.340),0.238 (****),0.238 (^^^)
28,t-2,0.004 (-0.052–0.068),0.004 (ns),0.004 (neg),t-2,0.314 (0.152–0.421),0.314 (****),0.314 (^^^)
29,t-1,0.065 (0.001–0.125),0.065 (*),0.065 (^^^),t-1,0.308 (0.157–0.412),0.308 (****),0.308 (^^^)
