Model,Test NL,Test SE,Test p-value,Test d,Training NL,Training SE,Training p-value,Training d
asymFFqN(2),0.5252377578216628,0.022597339892635192,7.529927837408092e-14,1.644482573248017,0.5345425819808043,0.014178937791272566,5.656568410499153e-06,1.9053698629995888
asymFFqN(2x2),0.517485253769297,0.022800904953933776,3.3730228115177966e-14,1.6767645091691887,0.5263798881666063,0.014626994465844697,8.991519514156837e-07,1.9838787994006861
asymFFqN(5),0.510002377327381,0.022912795938321417,2.84220132768866e-14,1.6842583308780785,0.5170817144310842,0.014546327589154057,8.837131888286234e-08,1.9578103594108243
asymFFqN(5x5),0.48574150452168685,0.024355970997886337,6.137411503276515e-14,1.6415421505611105,0.49279920593927706,0.015416968607942895,1.5239290069828286e-09,1.8024808974723523
asymFFqN(10),0.49432300174138816,0.024202246676173447,1.8309824312795762e-14,1.7056617321941774,0.5010739136421206,0.015042296756132213,1.4851518524224944e-08,1.8968067016907282
asymFFqN(10x10),0.46941886656457255,0.025681360246887306,6.649210543518186e-15,1.7817816942273086,0.4750445280815607,0.015888595815910452,6.529109432346018e-12,2.131345074102256
asymFFqN(10x10x10),0.4646664624056895,0.026739958517295204,3.691250203026857e-14,1.6706206851944527,0.4693975882475847,0.017210228253097717,2.776141254764817e-10,1.8402890836245496
asymFFqN(100x100),0.45419127126821557,0.026274351959418452,1.5960638735011566e-14,1.711609220446138,0.458702184833091,0.01647930506642506,1.9266604112336116e-12,2.0419013660029925
asymFFqN(100x100x100),0.41656423498898837,0.030885789560022508,3.046159239359592e-14,1.6782695754587569,0.41662241167708486,0.020952111499524133,2.1059944779741614e-07,1.8260250895928267
symFFqN(2),0.5305349859539243,0.021211960147132905,6.295380775082987e-15,1.7847897359532252,0.5350978278390699,0.013879098264567007,2.0534616602734105e-06,1.9347643256140787
symFFqN(2x2),0.5132714485797933,0.02274508836138828,3.7967087352531704e-14,1.6773253095142613,0.5177494512137825,0.014777003784224292,2.8872400497997734e-07,1.7236482933998396
symFFqN(5),0.5140313570545841,0.02250057229573953,5.49281781609666e-14,1.6474772233988988,0.518290623586803,0.014502314286684206,3.9684971182325845e-07,1.7995528136613688
symFFqN(5x5),0.4832249596575482,0.024454423500850413,3.20920623013648e-14,1.6755087633486434,0.48518617928596025,0.01551767368987036,8.961217722997158e-12,1.7919739950926041
symFFqN(10),0.5109648592926603,0.02278329474621919,2.763074416245392e-14,1.6838944087951506,0.5143964979456931,0.014675338684950943,8.555561380322959e-08,1.789281624858006
symFFqN(10x10),0.4900237968659396,0.024126850588799775,6.266382746517985e-14,1.6403803591607165,0.49292647289108293,0.01537077250759014,3.074148546575104e-10,1.7439155238941593
symFFqN(10x10x10),0.47291575814409953,0.026239054110822432,4.445558213765375e-14,1.6735553440245938,0.47324191528408205,0.017367370918553292,3.3896214835358035e-09,1.7120377737907528
symFFqN(100x100),0.4814819130631132,0.024541858227564255,1.078729563819749e-14,1.748505671157344,0.4841793675811292,0.015634517305114566,1.0122699666359857e-10,1.7791972451928142
symFFqN(100x100x100),0.4720626078255978,0.026275652892603543,3.808337298863675e-13,1.5523054539837693,0.4729068793162991,0.016975632596429247,8.246104887488821e-10,1.75362605847979
asymRqN(2),0.6215724562494426,0.019132272688334468,0.3099297819166436,0.1554618491397146,0.6309465573626165,0.012360503286335313,0.8906573854804699,0.09366955345256797
asymRqN(3),0.6072498997244188,0.019413191677940686,0.0004224012624911693,0.5762391078155223,0.6142404188897231,0.01249211865459068,0.21852614241605858,0.5717696193635983
asymRqN(5),0.6023528485908793,0.01982955330091031,0.04567020338188895,0.5058992720277351,0.613709057306541,0.012654732271040962,0.41260983287360614,0.367973543957148
asymRqN(10),0.607501488071124,0.01967176564233432,0.14828171454865696,0.23147430314290593,0.6200490848788904,0.012462084371676977,0.8553891088950161,0.10426593752050488
asymRqN(100),0.6500239689471633,0.01660357162146638,,,0.6561107639768042,0.011589101465438331,1.0,
symRqN(2),0.6411191070134006,0.01710956239060052,0.7946229857053445,0.03975536847010594,0.6470261464687856,0.011658860460559082,0.9129349570175607,0.06561999491246212
symRqN(3),0.6277215759251692,0.017549024180507317,0.6314943093512843,0.07312628659638978,0.6343414593827597,0.01182291319884322,0.7191453083216293,0.20278508716832863
symRqN(5),0.6210347392555539,0.017792378606744673,0.32563089318335975,0.15169145474610807,0.6280319643500768,0.011863384102619957,0.8454027655186303,0.09749874434689558
symRqN(10),0.6133455180810133,0.01760860930042346,0.005282513593520649,0.5302296826898028,0.6198048622381179,0.011729131579573443,0.2811421427232626,0.5231827443648963
symRqN(100),0.6371297712406022,0.01687912654482558,0.7549271498045734,0.0480495684736758,0.6420944622942848,0.011502803477043919,0.8975025898667984,0.06751936338582938
