,Lag,Mean(95% CI) [R],P-value [R],d [R],Lag,Mean(95% CI) [R.C],P-value [R.C],d [R.C]
0,t-30,-0.010 (-0.084–0.070),-0.010 (ns),-0.010 (^),t-30,0.045 (-0.025–0.112),0.045 (ns),0.045 (^^^)
1,t-29,-0.018 (-0.097–0.054),-0.018 (ns),-0.018 (^^),t-29,0.057 (-0.007–0.118),0.057 (*),0.057 (^^^)
2,t-28,-0.061 (-0.166–0.009),-0.061 (*),-0.061 (^^^),t-28,0.056 (-0.007–0.129),0.056 (*),0.056 (^^^)
3,t-27,-0.004 (-0.091–0.087),-0.004 (ns),-0.004 (neg),t-27,0.090 (0.040–0.162),0.090 (****),0.090 (^^^)
4,t-26,0.057 (-0.003–0.146),0.057 (*),0.057 (^^^),t-26,0.069 (0.009–0.142),0.069 (*),0.069 (^^^)
5,t-25,0.011 (-0.059–0.091),0.011 (ns),0.011 (^),t-25,0.083 (0.032–0.153),0.083 (**),0.083 (^^^)
6,t-24,-0.038 (-0.124–0.024),-0.038 (ns),-0.038 (^^^),t-24,0.048 (-0.003–0.097),0.048 (*),0.048 (^^^)
7,t-23,-0.027 (-0.107–0.038),-0.027 (ns),-0.027 (^^),t-23,0.021 (-0.051–0.074),0.021 (ns),0.021 (^^)
8,t-22,-0.036 (-0.110–0.023),-0.036 (ns),-0.036 (^^^),t-22,0.052 (-0.014–0.115),0.052 (ns),0.052 (^^^)
9,t-21,0.010 (-0.067–0.110),0.010 (ns),0.010 (^),t-21,0.087 (0.026–0.168),0.087 (**),0.087 (^^^)
10,t-20,0.009 (-0.062–0.093),0.009 (ns),0.009 (^),t-20,0.051 (-0.004–0.106),0.051 (*),0.051 (^^^)
11,t-19,-0.038 (-0.130–0.030),-0.038 (ns),-0.038 (^^^),t-19,0.048 (-0.011–0.102),0.048 (ns),0.048 (^^^)
12,t-18,-0.030 (-0.118–0.047),-0.030 (ns),-0.030 (^^),t-18,0.061 (0.002–0.123),0.061 (*),0.061 (^^^)
13,t-17,-0.010 (-0.083–0.063),-0.010 (ns),-0.010 (^),t-17,0.110 (0.065–0.172),0.110 (****),0.110 (^^^)
14,t-16,-0.005 (-0.068–0.066),-0.005 (ns),-0.005 (neg),t-16,0.084 (0.026–0.148),0.084 (**),0.084 (^^^)
15,t-15,0.013 (-0.055–0.093),0.013 (ns),0.013 (^),t-15,0.053 (-0.006–0.103),0.053 (*),0.053 (^^^)
16,t-14,-0.033 (-0.110–0.030),-0.033 (ns),-0.033 (^^^),t-14,0.061 (-0.005–0.121),0.061 (*),0.061 (^^^)
17,t-13,-0.073 (-0.164–-0.015),-0.073 (**),-0.073 (^^^),t-13,0.087 (0.019–0.152),0.087 (**),0.087 (^^^)
18,t-12,0.015 (-0.040–0.076),0.015 (ns),0.015 (^^),t-12,0.110 (0.060–0.165),0.110 (****),0.110 (^^^)
19,t-11,-0.031 (-0.106–0.033),-0.031 (ns),-0.031 (^^^),t-11,0.076 (0.011–0.136),0.076 (*),0.076 (^^^)
20,t-10,-0.018 (-0.096–0.053),-0.018 (ns),-0.018 (^),t-10,0.073 (0.004–0.127),0.073 (*),0.073 (^^^)
21,t-9,-0.018 (-0.090–0.043),-0.018 (ns),-0.018 (^^),t-9,0.105 (0.056–0.160),0.105 (****),0.105 (^^^)
22,t-8,0.001 (-0.056–0.059),0.001 (ns),0.001 (neg),t-8,0.117 (0.051–0.192),0.117 (****),0.117 (^^^)
23,t-7,-0.028 (-0.098–0.033),-0.028 (ns),-0.028 (^^^),t-7,0.163 (0.113–0.229),0.163 (****),0.163 (^^^)
24,t-6,-0.004 (-0.073–0.072),-0.004 (ns),-0.004 (neg),t-6,0.193 (0.127–0.277),0.193 (****),0.193 (^^^)
25,t-5,0.003 (-0.047–0.069),0.003 (ns),0.003 (neg),t-5,0.209 (0.137–0.295),0.209 (****),0.209 (^^^)
26,t-4,-0.023 (-0.106–0.052),-0.023 (ns),-0.023 (^^),t-4,0.180 (0.124–0.257),0.180 (****),0.180 (^^^)
27,t-3,-0.031 (-0.112–0.033),-0.031 (ns),-0.031 (^^^),t-3,0.212 (0.144–0.298),0.212 (****),0.212 (^^^)
28,t-2,-0.034 (-0.111–0.030),-0.034 (ns),-0.034 (^^^),t-2,0.253 (0.157–0.356),0.253 (****),0.253 (^^^)
29,t-1,-0.030 (-0.106–0.028),-0.030 (ns),-0.030 (^^^),t-1,0.297 (0.180–0.410),0.297 (****),0.297 (^^^)
