Model,Test NL,Test NL SE,Training NL,Training NL SE,Test p-value,Test r,Training p-value,Training r
Best Matching Model,0.5636557697355904,0.010040179558574466,0.5719988341243454,0.007173134263517331,0.5674307577131705,0.09898989898989896,0.9436090260534795,0.008682328907047954
R+C+R.C (5),0.5527603003558339,0.012950695257773828,0.559092437246317,0.00901950892379163,0.02290013348338493,0.3938383838383839,0.8842135254115083,0.017875383043922388
R+C+R.C (10),0.562317194418341,0.014920192245719813,0.5719980655053095,0.010371875638156045,0.2628197351326024,0.1938383838383838,0.9502340205775538,0.00766087844739527
R+C+R.C (15),0.5659175370899902,0.015520011726469603,0.5754232717479075,0.010700141339031969,0.9627676567293464,0.008080808080808133,0.9371533728028982,0.00967824310520943
R+C+R.C (30),0.5671994564707704,0.016063748263982505,0.578772553512997,0.010835905555479173,0.9534690741509446,0.01010101010101011,0.9502340743567268,0.00766087844739527
R+C+R.C (60),0.5647729800440502,0.016457818928600054,0.5829784488474372,0.010841975269332107,0.7620113959631992,0.05242424242424239,0.9469210340662924,0.008171603677221695
R+R.C (5),0.5454528347848872,0.01150922887119116,0.5534479962711645,0.007930804926681882,0.04112339804402021,0.35353535353535354,0.8191495689088776,0.028064351378958085
R+R.C (10),0.550801955692551,0.012789558171115054,0.56141706484983,0.00867453652872825,0.11261289250699073,0.27464646464646464,0.9206202461664997,0.01223186925434112
R+R.C (15),0.5564098796542752,0.013812069782526595,0.5669587139158716,0.009416621546404552,0.4914807211995813,0.11909090909090914,0.937153376026895,0.00967824310520943
R+R.C (30),0.5601249057397275,0.01498171186664773,0.5711731323210557,0.010032441280811927,0.4988594109659291,0.1170707070707071,0.9535479177597554,0.0071501532175689
R+R.C (60),0.5597251811885365,0.015860288776702314,0.576172902694694,0.01035233737359487,0.24320259287873114,0.202020202020202,0.9502340743567268,0.00766087844739527
R+C (5),0.5315541544250989,0.007483365450411866,0.5353907970179442,0.005561803345281932,0.007529418693100932,0.46262626262626266,0.3161748205322774,0.12303370786516855
R+C (10),0.5416368124372927,0.009586890774113302,0.5465499218356337,0.007090002209761475,0.013800656096801865,0.4262626262626263,0.7553083462037561,0.03825331971399388
R+C (15),0.5466033740465019,0.010584015004741987,0.5509221636663213,0.0077393523112634114,0.025852785906216747,0.3857575757575758,0.8384456053340265,0.025025536261491288
R+C (30),0.554034818049474,0.013108897833684598,0.560362595750224,0.00944359887197744,0.018404457181450055,0.40808080808080804,0.9107163554213236,0.013764044943820226
R+C (60),0.5554481158444851,0.014370009530427053,0.5666748396728875,0.01009684939384381,0.006791627851724016,0.46858585858585855,0.9270643838006921,0.011235955056179803
C+R.C (5),0.5511712751954899,0.012549649465836315,0.5570042151214174,0.008744556094389535,0.02823568251107389,0.3797979797979798,0.900826313487637,0.01529622063329928
C+R.C (10),0.5617210709857856,0.014725200791340938,0.5704764157424538,0.010234711706058686,0.22935196912560185,0.2080808080808081,0.9402978096057063,0.009193054136874323
C+R.C (15),0.5658239394084744,0.015372111095659152,0.5736205740513155,0.010620616830748391,0.9446414340118,0.012020202020202047,0.9336789058918618,0.010214504596527119
C+R.C (30),0.5672633028391056,0.015934648812194783,0.5767401661979386,0.010768614735968665,,,,
C+R.C (60),0.5652978844949166,0.01634654290895823,0.5805100083472605,0.010879007436890716,0.8159014929504456,0.04030303030303035,0.9436090260534795,0.008682328907047954
