model,alpha,alpha_h,alpha_r,gamma,intercept,kappa,tau,theta,theta_h,theta_r,weight,weight_b,weight_h,weight_r
 Long-Term Omission Sensitive Q Learning ,0.015,,,0.009,0.388,,,0.032,,,0.076,,,
Differential Extinction Immediate Q Learning,0.005,,,,0.41,,0.002,,,,0.246,,,
Differential Extinction Long-Term Q Learning,0.016,,,0.011,0.38,,0.015,,,,0.069,,,
Differential Forgetting Immediate Omission Sensitive Q Learning ,0.014,,,,0.409,0.004,,0.027,,,0.178,,,
Differential Forgetting Immediate Q-Learning,0.003,,,,0.311,0.025,,,,,0.397,,,
Differential Forgetting Long-Term Omission Sensitive Q Learning ,0.021,,,0.022,0.296,0.004,,0.039,,,0.115,,,
Differential Forgetting Long-Term Q Learning,0.021,,,0.012,0.263,0.005,,,,,0.088,,,
Expected SARSA,0.01,,,0.008,0.304,,,,,,0.07,,,
Forgetting Immediate Habit-Value Arbiter Q-Learning,,0.009,0.017,,0.417,,,,0.027,0.04,0.47,0.305,0.357,0.849
Forgetting Immediate Omission Sensitive Q Learning ,0.005,,,,0.431,,,0.023,,,0.107,,,
Forgetting Immediate Q-Learning,0.004,,,,0.425,,,,,,0.135,,,
Forgetting Long-Term Habit-Value Arbiter Q-Learning,,0.006,0.015,0.039,0.274,,,,0.179,0.081,0.454,0.334,0.498,0.653
Forgetting Long-Term Omission Sensitive Q Learning ,0.012,,,0.034,0.307,,,0.033,,,0.111,,,
Forgetting Long-Term Q Learning,0.012,,,0.027,0.257,,,,,,0.106,,,
Forgetting RPE-free Q-Learning,0.03,,,,0.196,,,,,,0.03,,,
Immediate Habit-Value Arbiter Q Learning,,0.007,0.035,,0.419,,,,0.027,0.027,0.473,0.243,0.271,0.516
Immediate Omission Sensitive Q Learning ,0.003,,,,0.359,,,0.023,,,0.162,,,
Immediate Q-Learning,0.002,,,,0.156,,,,,,0.311,,,
Long-Term Habit-Value Arbiter Q-Learning,,0.009,0.031,0.02,0.453,,,,0.046,0.062,0.493,0.35,0.35,0.583
Long-Term Q Learning,0.014,,,0.007,0.354,,,,,,0.068,,,
RPE-free Q-Learning,0.243,,,,0.075,,,,,,0.416,,,
SARSA,0.016,,,0.008,0.278,,,,,,0.068,,,
