,Matching Strength p-value,Matching Strength Effect Size,Bias p-value,Bias Effect Size
RF-QL,3.8143817467700813e-07,-0.999172,2.7636646531024946e-05,-0.928898
F-RF-QL,0.00020117573783830027,-0.875714,3.597814732510487e-06,-0.969674
I-QL,3.5684279733938052e-06,-0.975858,3.0608542045798505e-06,-0.97449
LT-QL,0.00020117573783830027,-0.874576,4.836038848919186e-06,-0.9656
F-I-QL,0.003792408129812635,-0.766324,2.245522664128868e-06,-0.980972
F-LT-QL,0.00017741790259331663,-0.885278,3.5684279733938052e-06,-0.972558
DF-I-QL,0.0018307246496942306,-0.800954,4.1561631557279736e-06,-0.96692
DF-LT-QL,0.000601089956402213,-0.828712,1.920552525780465e-06,-0.982336
DE-I-QL,6.528742152073045e-06,-0.962168,2.622947133501737e-06,-0.977002
DE-LT-QL,0.16923554870065566,0.532934,1.1762392268284195e-05,-0.951532
I-OS-QL,0.00025961191986602757,-0.863282,6.528742152073045e-06,-0.955312
LT-OS-QL,0.00824611159729866,-0.723728,1.6410265549780677e-06,-0.983144
F-I-OS-QL,0.0009455919019482447,-0.830932,5.62171333027929e-06,-0.95833
F-LT-OS-QL,0.0004191808013159814,-0.848396,3.0862328930205253e-06,-0.972894
DF-I-OS-QL,0.020048600175371797,-0.692666,4.1561631557279736e-06,-0.965708
DF-LT-OS-QL,0.0014828466613493266,-0.804056,3.597814732510487e-06,-0.967562
SARSA,2.245522664128868e-06,-0.979572,1.0178089419111626e-06,-0.990676
ESARSA,4.791724743102411e-05,-0.911716,1.0178089419111626e-06,-0.99084
I-HV-QL,6.273422832191232e-05,-0.906184,1.920552525780465e-06,-0.98088
F-I-HV-QL,0.0001210006543523834,-0.886264,3.5684279733938052e-06,-0.971972
DF-I-HV-QL,0.0006710312261220974,-0.837912,3.0608542045798505e-06,-0.970874
LT-HV-QL,0.00029163445125175296,-0.865522,1.6410265549780677e-06,-0.984386
F-LT-HV-QL,4.1817996755024015e-05,-0.91817,8.780062972216513e-06,-0.952904
DF-LT-HV-QL,0.00013759535570811754,-0.891692,1.8107761770659977e-05,-0.928862
